,Reviewer Name,Review Title,Review Paragraph,Star Rating,Review Date
92,Piyush Ranjan,Amazing is the one word for Apple.,"So I got my first Apple I Phone 7 , thanks to Flipkart for amazing low price of 38499/- on there big billion day, package arrived before time. Here was my New I phone 7, mesmerizing look, feature touch , crisp and clear display, sound at its best, even the ear-pods are too classy and give a good sound.  When I started using Apple I phone then i realized why they cost more than any other smartphone. They have terrific after sale support. My phone was heating a bit for Initial 2 days, then i c...READ MORE",5,"May, 2017"
93,Rony Mathew,Useless product,"1 star is for the seller...The seller doesn't deliver on promised date, which defeats the shopping experience. And this seems to be like some regular thing looking at the other reviews mentioned here. iPhone 7 by itself is 5 star product.READ MORE",1,"Dec, 2016"
94,alok,Awesome phone,"Received the sexy beast I phone 7 gold on the same day of release.5 stars to flipkart for the fastest delivery . Quality of phone is awesome , very good touch and battery backup. The new camera quality and stereo sound is excellent . Water proof feature is the another advantage what I was looking in iPhone. So overall 5 stars from my side cheers!READ MORE",5,"Oct, 2016"
95,ARUN SHUKLA,Could be way better,This is my first iPhone so I am very happy with the product about my opinion everything is perfect but I’m not satisfied with the services of flipkart because they are not dilvered on my order with given time but finally I have got my product so I’m happy :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:READ MORE,2,"Nov, 2019"
96,Flipkart Customer,Best phone even in 2018.,Its amazing phone even in 2k18. Battery lasts for more then 2 days. Best iOS experience. Best processing power. 2GB RAM. And 3D touch and UI is just WOWWW.READ MORE,5,"Feb, 2018"
97,Wisanni Newmai,#beast,"#beastThis is my second iPhone. I upgraded from 5s.. My advice: If youre looking to upgrade your phone, iPhone 7 is awesome. If you have some spare money iPhone 8 is better but 7 & 8 has no much difference;so why waste another 10k on the same product.  After a week of nonstop uses:Performance: 9.5/10. Its a #beast. Lightning fast. Battery: 8/10. Single full charged,I can used the whole dayCamera: 10/10. Awesome.Overall: One of the fastest and best looking phone. Go for it. After all...READ MORE",5,"Jan, 2018"
98,shafi ullah,Highly recommended mobile!!,"got the product two days earlier than the delivery date. Package was good and the mobile works very good till now. No defects and is not a High clone / copy of an iphone 7. Its 100% authentic. Checked the warranty of the mobile with istore in-person and it had 362 days of 1 year free warranty. I bought Iphone 7 128 GB Gold variant and it looks really catchy. The over all performance of the mobile including camera, sound quality, stereo, Gaming is upto the mark. Thought this product would be w...READ MORE",5,"Oct, 2017"
99,Nishant Daryanani,Terrific purchase,Awesome phone at best price..thank you flipkart for great deal. Quick delivery with great packing. Initially afraid to buy it online but flipkart made this experience great n amazing.READ MORE,5,"May, 2017"
100,Abdul Rahaman,Good product,"Amazing experience with iPhone7. Working very fast, good battery life, excellent touch screen. Feel pride to use apple. But feeling little over priced for this product.READ MORE",5,"Nov, 2016"
101,Nitesh Bamel,Great Quality and Timely delivery,Got delivered on time and in good condition and packaging.Pros..1. Great Camera even in low lights2. Great User experience3. Way above in benchmarks ratings even from mobiles with higher configuration.Cons..1. If your phone is not jet black it looks pretty much like 6s .2. Knowingly apple has removed headphone jack so can't charge and listen to music from a speaker or headphone simultaneously.3. Only 5gb of free icloud :(READ MORE,5,"Oct, 2016"
102,Ashay Varadkar,True iPhone experience,"Its an absolutely amazing product. Using it for about a month now. It handles all day to day activities like a breeze. I have upgraded from iPhone 5s and the difference is very noticeable. I can definitely see myself holding this phone for another 2-2.5 years atleast as iPhone generally have very good shelf life.Also kudos to Flipkart, got this phone for just Rs.38,500 and got delivered in 2 days.Keep up the good work!READ MORE",5,"Jun, 2017"
103,rajat ukey,Just okay,I bought this product for 60000 rupees prepaid still the courier boy kept saying that he will deliver the phone tomorrow I said it's showing out for delivery so I got home n waited but he kept saying that he will deliver tomorrow n then said to come to another colony plus he got it delivered on flipkart app on 4 pm while he really delivered on 6 pm I still don't know why he did that I got frustrated then the phones volume up key wasn't clicking n functioning still I got to flipkart service th...READ MORE,3,"May, 2017"
104,Keyur Desai,"Great phone, missing headphone jack aside.","The phone is exactly as described with impeccable build and quality. The new black colour also looks great. Yes, it is expensive but with the cash back offers on the pre-order units, it worked out to around 5k more than the US price (including taxes). That is the cost I guess for the Indian warranty and peace of mind.Also, flipkart being flipkart, it attempted delivery of the phone the next day after it was released which was great.READ MORE",5,"Oct, 2016"
105,Flipkart Customer,Great experince,Mobile is good. No defects thanks to supercomnet retailers. Flipkart delivered after a week and promised date but they would have delivered early before promised date. They miss routed couriers and I can see misrouted sticked on package.Apart from Ekart delivery product is good and I have noticed mobile heating up when high utilisation is happening mostly using WhatsApp video calling but not frequently.its been two months of experience in iphone7 mobile is good and inbuilt apps are cool.READ MORE,4,"Jul, 2017"
106,Rinse John,This is 7. But doesn't live upto expectations.,"iPhone 7 - 32GB BlackPros : - Superfast A10 Processor - Improved Home button (Haptic Feedback) - Excellent Low light camera with Image stabilisation - 32GB Storage from base models - Improved Stereo sound from speakers - Great battery life. Almost lasts for a day with a full charge. Significantly better than the predecessor.- Most importantly, this time it is waterproof. Cons : - I had the iPhone 6S (16GB), I haven't noticed much difference and the aesthetics of the phone just fee...READ MORE",5,"Oct, 2016"
107,Arjunanand Sivasankaran,Super!,"Upgraded from iPhone 6 to 6s to se to 7... Build quality has been awesome from Apple... They are surely investing a lot of their intellect in designing... No one can beat them in that section. Coming to performance, well there's only one conclusion - at the end of the day it's an Apple..The Name says it all... Camera captures natural true tone colors... Not oversaturated or washed out, almost the perfect.. Battery - has improved a bit but not spectacular as always... Definitely an improvement...READ MORE",5,"Oct, 2017"
108,Monin Manu,Best Phone I ever used,"Apple haters can say anything, well they say only 2 things, customisation and price, I am not a typical customisation guy, for me things have to work out of box as expected and it should be updated always. Data security is most important. After seeing lots of YouTube reviews I bought Samsung Galaxy S7, For one week it was cool, After that it starts to feel like another android device, Latest features only on paper no refinements, Bad UI, For any consumer device design and usability matters, w...READ MORE",5,"May, 2017"
109,Anubhav Agarwal,Worth buy,"Product:A better touch and response time then previous versions of iPhone. Black color is super cool, though not much change in looks. Camera upgrade is good, with a brighter display.Stereo sound is good, new home button is quite sensitive, overall a good buy.Delivery and packaging:Timely delivery and in a uber cool box, kudos to Flipkart for thatREAD MORE",4,"Oct, 2016"
110,karthik m,Brilliant,Its is my second iphone i had bees using a 6s for many years and did not have to money to upgrade to XR so this was the correct option for the price. Thank you flipkart for sending me a clean genuine product.READ MORE,5,"Dec, 2019"
111,Dilmeet Singh,Mind-blowing purchase,"One of the rare sensibly priced iPhone which still works brilliant with the latest iOS release. Camera, Speed, Interface fluidity, display and average battery are it's strength. IP rating and price now is good but still, overall not worth 25k. Apple's ecosystem is good but it feels dated now and needs an overhaul. Lack of 3.5 mm audio jack is anti-consumer but, now is a trend limiting our choice and forcing to go wireless. Overall, still worth it if Apple is what one needs. This is good for b...READ MORE",5,"May, 2019"
112,Ashok Shakhawar,Its different than android and EASIER ROBUST,Yeha it is amazing phone oh I am sorry its iPhone It was quite difficult for me because I switched from android but right now I am more comfortable with iOS I am using almost all features of iPhone That was not happening with android Yes I was thinking to buy Oneplus product but my decision was right because its hardware features is only huge number iPhone is highly optimise yeha but battery life is quite lessREAD MORE,4,"Feb, 2018"
113,Flipkart Customer,Excellent phone and worth to buy,Actually it is my first iphone ever which is iphone 7 and am so nervous how this phone better or not . but i buy silver color and excellent delivery by flipkart time.lets go on iphone reviewActually it was very excellent processorWhen i first time open camera am shocked about camera its clearity is like samsung cheap phones am so disappointed that time but i accept gracefully but its clearity starts increasing day by day . actually it takes 3 days to be called an iphone camera and after tha...READ MORE,5,"Jan, 2018"
114,Abhisek Pal,Awesome,"I got my iPhone 7 on 9th Nov. 2017 and this is my 2nd iphone in a row. I'm using 5S and now bought iphone 7.. filpkart delivery is awesome, got it within 18 hrs from the order. Nothing to say about iphone 7.. it's really sleek and black model looks hot in hand. Live picture is looks nice. Camera took pics like they are live. Battery backup it really gd, I use it for 2days once it changed full. Bt I hv little disappointed bcz I bought it in a price of Rs.45K where flipkart was giving it in Rs....READ MORE",5,"Nov, 2017"
115,Haziq  Vaid,Must buy!,"This thing is wow!!!!!!! First of all thanks to flipkart and big billion days. You people rock everytime. Always had a good deal with flipkart. This time they crossed the limits of delivering authenticity as they delivered only in mere 2 days, flipkart is the best online shopping destination. Great experience!! Now about the phone The phone was in excellent condition. Though packed with little bubble wrap which is not up to make for this kind of expensive smart phone but it was ok.The...READ MORE",5,"Sep, 2017"
116,RCP .,Bye bye andriod,First iPhone this. And i am loving it. I am using it for last 6 months. No complaints. I used Asus zenfone 5 before this. Thats a good phone as well with a lot of ui customization options. But i am not missing any of it with iPhone. The default iOs ui is so sleek and fast and sauve who needs customisation. It reduces the unnecessary chore of playing around with your ui. I also have a series 2 watch. With that combination i could have not asked for better. Supet awesome user experience. Just g...READ MORE,5,"Jul, 2017"
117,ANOOP RUSTAGI,Awesome,I m very much satisfied customer of flipkart.......Original product....Good quality...... Maintain corona protection ......Product protection ......All are very goodREAD MORE,5,"Jul, 2020"
118,appavu rajaganapathy,Super!,I switched from android to apple. First two weeks I worried. Now I am happy with the phone.  Butter smooth display and hq camera. Battery decent with fair usage.READ MORE,5,"Jul, 2020"
119,Flipkart Customer,Nice,"The phone received was great and I have been using it for a good time now, however the charger received with this was not original and did not work even onceREAD MORE",3,"Dec, 2019"
120,Vaikundaraj Ramachandran,Super!,"First of all Amazing delivery by Flipkart, shipped quickly, received within 12 hrs. Then nothing to say about product. Apple is apple, black beauty I love this phone. Solid performance. Had doubts on battery performance but satisfied.READ MORE",5,"Oct, 2019"
121,aimana md,Very Good must buy at such price,"finally i got my fav colour iphone at such affordable price on my birthday.... i am soo happy , and thanks to only flipkart .READ MORE",4,"Oct, 2019"
122,pankaj nathani,Wonderful,"Delivery in 36 hours, which was fast. Thank you Flipkart/e-kartI am using iPhone for past nearly 30 months. Reason for me to upgrade from a iPhone SE to iPhone 7 was purely due to form factor. I needed a slightly bigger screen but not as giant as 6inch and above. 4.7 inch is an apt size. Being water resistant too adds to the advantage. iOS by far has to be the best operating system amongst smartphones.Hoping that iOS supports this device for at least two years. :victory_hand_medium-light_skin_tone:READ MORE",5,"Oct, 2019"
123,Shubham Jain,Highly recommended,"So far so good.Yes, I’ve bought this iPhone 7 in 2019. Because the X generation phones are still faulty. I love the Touch-ID, and the ease of operation. I just don’t have to worry about the glass worth 30K, breaking after a single drop.Next, it solves a lot of my specific purposes that android won’t. I switched to this phone from a ONEPLUS. Why? Just because of the productive apple softwares that keep me in tune with the business, and help me get creative with videos and best audio record...READ MORE",5,"Oct, 2019"
124,Naveen Pandey,Perfect product!,No comment. There is no doubt in performance of this phone. this is such beast but I have paid such money just to buy a apple logo. Calm down guys. dont think too much just go and grab you logo right now. it would be better to buy this when flipkart sale on. overall apple know how to make a good compact phone and how to sell it.READ MORE,5,"Mar, 2019"
125,Rajvi Modi,Good choice,This phone is the among one of the best product from Apple inc. Only missing piece is head phone jack. But that is okay if u get water resistant phone. No lag. Perfect camera. Haptic feedback is one of the appealing feature. Got this product in  37.5 K . Should go for it. (Y)READ MORE,4,"Mar, 2019"
126,Arif Iqbal Rana,Must buy!,"It is a great product from apple. But not a complete value for money. Other brands provide much more at this price range. It is way too expensive. But if you're looking to buy this, it surely means that money doesn't matter more than apple product, right? If you're a fan of apple, then I would recomend it to you. Otherwise for normal consumers, it's not the one. I love the camera in this phone. However the battery life is pathetic on this one. Can't trust it. Performance is nearabout average.READ MORE",5,"Feb, 2019"
127,Pramod Nani,Awesome,i love apple its the best of the best in mobiles thank you apple but my small humble request is to reduce cost of the products so more people could purchase it even though they want to buy it but due its cost they are not affronting to purchase itREAD MORE,5,"Feb, 2019"
128,Shartul Kumar,Terrific purchase,I bought it for my dear lovely wife and it is wonderful                       super quick charge battery...... Awesome camera 12MP quality just compared to 23MP camera from my Sony android  mobile......Navigation never non-reahcable...READ MORE,5,"Dec, 2018"
129,HAMZAAH AZAM,Awesome,"Great craftsmanship.Perfect piece of beauty specially in ROSE GOLD.Battery back is not good but overall product works fine.Great value for money.Got a deal at big billion day for just Rs.31,200/- and for this price tag I think it’s a good buy.READ MORE",5,"Oct, 2018"
130,Rajshree Agrawal,Good buy and I am happy with my phone,I'm happy with my phone. It's original n with all documents n seal packed box I have received my phone. Flipkart is the best place to order any product online without any doubt in its originality. Because flipkart only sells original n genuine products with good quality.READ MORE,5,"Aug, 2017"
131,MohitG,Terrific,Best delivery service by Flipkart! Can't say enough about the good qualities of the phone . It is a celebrity at my workplace right now!READ MORE,5,"Jun, 2017"
132,Sanjay  Sharma,Value-for-money,"The iPhone 7’s new home button will elicit instant reaction from people; it’s much more different than you might think. The button no longer moves at all — it’s totally solid, just like newer MacBook trackpads. A linear vibration unit that Apple calls the Taptic Engine jolts when you apply pressure to the button, tricking your brain into feeling a click. It’s nothing like the clumsy haptic feedback on other phones, — it really does feel like a click.Over all awesome phoneREAD MORE",5,"May, 2017"
133,Mohan Thakur,Future ready device with small spec deficiency.,"Hi all,Here's my first ever product review over FK for any product.No spec overview or review as we all are well aware bout specs.Talking about performance factor and worthiness.Pros: Design: looks and feels super premium in hand. Every time u pick it up in hand it will make u feel it.Speed: man this phone is simply super fast, no android device be it any high end Galaxy or Note phone, OP3t or  googles top class phone pixel,regardless of specification can never ever outperform this...READ MORE",4,"Apr, 2017"
134,Parampal Singh,Terrific,Great loving my iPhone 7 great gaming experience and camera and videos are super Awesome tooREAD MORE,5,"Mar, 2017"
135,Rakshit,Wonderful,Awesome mobile all go for it new enhance features loved it thanks for flipkart to providing a great service and good package inside too safety ...IPHONE is one the best phone i evr seenREAD MORE,5,"Jan, 2017"
136,Ravi Chauhan,My new iPhone..!!,"This is my first iPhone and it feels great to have one. The product appears to be premium as claimed n first impression is quite favourable. The cameras are good, touch is smooth, EarPods are great n the charging is real fast. For the first timer it appears to be a good buy.READ MORE",5,"Oct, 2016"
137,Tarun Allani Tarun Allani,Prompt Delivery and awesome phone,Thanks to flipkart got the before time as promised for the best price. The phone is outstanding in performance and the camera is simply superb. Looks same as iphone6s minus headphone jack.READ MORE,5,"Oct, 2016"
138,himanshu sachdeva,Worth buying it,Extremely happy got my iPhone 7 on the launching day within 25mins of officially launching this iphone in india..Why to buy this productNothing is changed but actually everything is changed1 touch it's extremely wonderful 2 processor fastest phone ever used3 camera for selfie lovers 4 biggest reason to buy - its waterproofREAD MORE,4,"Oct, 2016"
139,Flipkart Customer,Awesome,Fantastic looking phone. It's a great upgrade from my iPhone 5s. Great looks and fresh feeler.  Plus the priority deliver from Flipkart made my day. I got my phone at 9pm at my house on the date of launch. I am sure it did beat a lot of people waiting outside stores. Kudos Flipkart!!READ MORE,5,"Oct, 2016"
140,Jitendra Choudhary,The Next Level of Pure Awesomeness,"Pure awesomeness delivered by Flipkart. They delivered within 1hour of launch and made the entire experience awesome with chocolate and celebration.Coming to product, it is as flawless as you would expect from Apple. Quick switchover from other phone, awesome camera with great selfies. Butter smooth performance. I am floored completely.READ MORE",5,"Oct, 2016"
141,Abhinav Srivastava,Worth every penny.,Well as usual the The touch is awesome. Form factor in ease of use is good. Awesome delivery by Flipkart. Great packaging. Flipkart left no stone unturned to make it feel personal. The great feature in iPhone 7 you can uninstall the default apps which you don't want to use. As usual Siri is great. Great discount by Citibank.READ MORE,5,"Oct, 2016"
142,Shrikant Thounaojam,Happy and satisfied,"I just upgraded from iPhone 6 to 7. I know a lot of people agree that it is not a significant upgrade in terms of looks and hardware. But let me tell you, I inboxed it. The moment I held my device (matt black), it felt different. I'm a fan of Apple products and this latest one is my favourite. The camera is significantly better.Thanks to Flipkart and Ekart for the timely delivery.READ MORE",5,"Oct, 2016"
143,Sparsh Gupta,Wonderful,Have bought this phone last September 2017 during the Diwali Sale cost me around 38k. It's been 4  months and I am happy with phone performance. 32gb memory is good enough if you are not a heavy  user.Gives you other various inbuilt options that let you explore such amazing and cool apps on itunes.Though have not tested water resistant but over all the phone performance is really good.READ MORE,4,"Jan, 2018"
144,Flipkart Customer,Highly recommended,Received the phone within 2 days of order. Well packaged and I got the packet checked in front of the delivery guy. Genuine product with all accessories and good discount also. Happy with product as well as service of flipkart!!READ MORE,5,"May, 2017"
145,Flipkart Customer,Upgraded from the iPhone 6 to iphone 7,"Firstly flipkart did a good job on delivering the phone on next day. Overall iPhone 7 is a nice upgrade from iPhone 6 as I got 3D touch, Live photos, better camera, aA10  processor, Stereo speakers and it's water proof.Working very fast, good battery life, excellent touch experience on taptic engine.But in normal usage phone gets over heating when using camera internet browsing & chatting phone gets very very heat.READ MORE",5,"Jan, 2017"
146,Sayanti Chakraborty,Brilliant,"Its a great phone if you are gettting into the ios ecosystem after using android it wont dissapoint you,this phone is like an old nokia feature phone in a good manner which lets you do anything you want,open any apps with in a spilt of second,its camera is one of the best in 2017. I would  say after pixel it has the best camera, it has great battery life uptill now it gave around 8-9 hrs screen usage if used on low power mode though i would say go for the 7plus if your budget permits and it f...READ MORE",5,"Jul, 2017"
147,Ragesh Rajagopalan,Fabulous!,"Pros: Great Build, Great Camera(wish I could upload a picture here), Great Audio. Taptic works well.Cons: No headphone jack, you have to carry two wired headphones if you use Mac and iPhone :( .  Case for iphone6 is not the perfect fit as that will cover few speaker holes, so don't buy case for iPhone6 assuming that will fit.READ MORE",5,"Oct, 2016"
148,Jasbir Kumar  Gandass,Flipkart is very good way to buy any products,"Flipkart is a very Fastest!!!!!!!!!!!!!!!My Name is Jasbir Singh Advocate, from Gurgaon, finally I got the most awaited iPhone 7, phone of the year and too from flipkart was so amazing.I am really thankful to flipkart for understanding of customer and also thankful to flipkart's excellent service.Flipkart delivered my iPhone 7 on 07-10-2016 at 7:20 pm, when Apple conducted all India launch. Flipkart is another word for Geniune products.iPhone 7 in first looks is a awesome phone with e...READ MORE",5,"Oct, 2016"
149,Saksham Saxena,Must buy!,"Amazing product and on time delivery.The product was well packed, and no issues in the phone so far.This is the second iPhone 7, I've purchased from Flipkart, and trust me, this is the best platform to buy such expensive products in cheapest price as compared to any other platform. Big thumbs up for the service. Cheers!READ MORE",5,"Jun, 2017"
150,aman kag,good more then expected.,"I have serched over all enternet for buying an iphone 7 i cheked many shopping sites reviews and all customers feedbacks and after talking with many friends finally i get that many friends buyed mobile from flipkart and they got authentic mobiles so i finally decided to buy from flipkart and at same time i listened about big 10 sale and i ordered at exect time for cod and i got it only for 39,999rs. Then i waited for 4 days and i got that product i have doubt in mind that i have buyed it onli...READ MORE",5,"Jun, 2017"
151,Chander Bhan,Amazing job by Flipkart!,Flipkart delivered me this product right away during preorder along with giving 10k cashback on citibank and taking my old nexus 4 as exchange. Absolutely delighted with the customer experience that Flipkart has provided with this. The phone is also very smooth and it feels nice using this beast. Everything works as expected and I can see no cons of having an iphone.READ MORE,5,"Oct, 2016"
152,Gaurav Asija,Great Phone at Great Price,Great Phone with awesome user interfaceNothing can beat I phoneGot at a great price where I simply exchanged my old Samsung Grand phone which if I would have sold in open market I would have received maximum 2K but Flipkart exchanged for 4KFlipkart shopping experience is superbGenuine Product at unbeatable pricesREAD MORE,5,"Jan, 2017"
153,Vijendra Mishra,Wonderful,First I'm reviewing the product: As I was using iPhone 5 earlier this phone is much amazing. In speed and in performance both. Camera is of very good quality and images are coming more stabilized and crisp. Black color and design and curves of this phone is awesome. Secondly let's talk about Flipkart delivery. I just want to say if end is well then all well but Flipkart should introduce more transparency in there delivery system to save customer from a nightmare like situation specificall...READ MORE,4,"Oct, 2016"
154,Kartavya Partap Singh,Awesome,"Awesome phone even in 2017 great performance, camera and someone looking to buy an iPhone go for this rathar than i8 coz performance vise there is not much difference but price vise there is difference. Only iPhone X outperforms this on sheer performance and thank u flipkart and associated for delivering my product on time.READ MORE",5,"Dec, 2017"
155,Saigoutham D,Terrific,"IPhone build quality is great and it looks premium, it is slightly slippery in hands make sure u have good Case and the greatest drawback is the battery drains lot more faster compared to other high end mobiles. other that that it works phenomenal...READ MORE",5,"Sep, 2017"
156,Dr. Soham Prajapati,IPhone,"After exchange, I got iPhone 7 at 39129 INR... One of the best deals... Got rid of my old phone and got one of best user friendly phone...fast and battery better then previous version... truly great experience..READ MORE",5,"Jun, 2017"
157,Sayantan Halder,Brilliant,"Awsome product. Looks soo elegant. Seller shipped the product within the promised time, & i ld say m really in love with the phone. Thanks to flipkart & supercomnet for giving me such a good experience. I ld also like to include that the product was in perfect condition when i recieved it so dont make it hectic for urself by seeing those negative reviews about the phone & the seller. I ld rather advise, give it a try.READ MORE",5,"May, 2017"
158,Aditya Sehgal,The beast,"Guys, This is one of best phone in the market. I definitely recommend this phone. Go for it. You will never outdated for at least couple of years.There is Generally two category of people those who like phone and other one is who like Iphone.This is one of flagship phone by Apple. It was launched in Last Year September and still one of the greatest phone every made by Apple.It is not like I am praising Apple here. But here I am talking about commitment of Apple towards its Customer. Appl...READ MORE",5,"May, 2017"
159,Palak Zatakia,iPhone 7 is a must buy.,"Definitely the best phone available right now. Awesome fast delivery by Flipkart and the seller. iPhone 7 is a must buy, if you can afford it. Matte Black looks the best according to me. :)READ MORE",5,"Oct, 2016"
160,Yeshwanth N,"Fastest delivery, very much satisfied",I got the delivery within 24hrs of iPhone 7 release . I was so happy to get my delivery so fast. Thank you flipkart. Regarding the iphone7 no words.It's an amazing phone. The feel of using the phone is Awesome.READ MORE,5,"Oct, 2016"
161,Abhishek,Decent phone. Recommend going for 7 plus or 8 plus,"First iPhone experience was good, courtesy Flipkart. The phone came as mentioned in the description, without any damages or tampering. I got it in exchange with my one plus one for Rs.31000 during the big billion days including emi offers etc.which was the best price one could get.About the product, Pros -1. Switching from android to iPhone is easy now. Except all your whatsapp backup is in google cloud and I could not find a way to get my previous chats from google to iCloud. 2. Photos b...READ MORE",5,"Jan, 2018"
162,Abhay Verma,"Apple iPhone 7, 128GB Review","Just got my new iPhone 7 delivered from Flipkart, less than 24 hours after placing the order. Was using a 16GB iPhone 5S before this, and clearly the 7 is a huge leap for me. Bigger screen looks and feels brilliant, new home button is lightening quick, and both cameras are nothing short of amazing! Of course, water and dust resistance makes the 7 a better bet for a constant traveller like me. Force touch and intuitiveness are fantastic too. With its speed and functionality the 7 should certai...READ MORE",5,"Nov, 2016"
163,Flipkart Customer,Amazing product,The product was amazing as I upgraded my iPhone 6  from iPhone 7 its a wonderful product with a nice built in quality and much more features it is a must buy product as I got it for a cheaper rate from Flipkart..READ MORE,5,"Dec, 2017"
164,Apoorva Shukla,For all Android lovers,I was an android user doing custom roms and debugging till date I got this phone. And its just wows.. Makes your work so easy which is why rich use it coz they got a lot of other work where they can make money and not just waste time on dealing with your phone every now and then.READ MORE,5,"Jan, 2017"
165,Yash Kataria,Premium Quality and Fast Delivery,"I was not sure of buying an iPhone 7 (Black,32gb) from Flipkart but I ordered it and got it for just 40k.The iPhone works perfectly fine.Everything from delivery to payment to product genuineness was perfect.Don't hesitate to buy!!!(if u get a good deal)READ MORE",5,"Jun, 2017"
166,Kamlesh Sharma,Great service by Flipkart!!!,Amazing experience I had pre booked and it was delivered on 7th at 7pm with personalized packaging with chocolate pack was really great gesture by Flipkart a bit disappointed inside the box I got 1k voucher but not able to redeem it since there was no instructions...IPhone 7 seemless experience great camera outstanding features believe me it's far better form any of android phones. Wondering services by Flipkart only suggestion please redeem this voucher or don't send it as surprise!!READ MORE,5,"May, 2017"
167,Syed Ibrahim,Good buy! Won't regret for sure!,"Being a shutterbug loved the camera which produces pics with great detailing and quality. The phone is slim, sleek and sexy. If you're planning to get a Jet black would highly recommend a back case as it may irritate you to see your fingerprints on the phone.READ MORE",5,"Mar, 2017"
168,Saarthak Dutt,Fantastic is an understatement,"After waiting for such a long time for apple to launch iphone 7, I finally put my hands on this beauty. And boy, it's insanely amazing. Works like magic. Fantastic experience on Flipkart. It was first time I was buying a phone through Flipkart and it's been amazing. The packaging was excellent. The phone was in perfect condition. I think it was the best decision to buy it from Flipkart and not from any other online store because of the great offers that come in handy. Very satisfied with my p...READ MORE",5,"Feb, 2017"
169,Gurmeet Singh Kalsi,Fabulous!,Phone itself is superb as you all know. I got it in excellent condition. Packaging was good. Timing was accurate. Do remember to take out sim card and/or memory card from the replacement phone before giving it to the courier boy. I forgot to take out sim card so then I had to pay a visit to the courier office to collect it back. Thank god as it was not too far from my home. Thanks for reading my review. Hopefully it would be usefully for you.READ MORE,5,"Jan, 2017"
170,sukh brar,U will not be disappointed,Happy with the product I got it at a price of 39kNow the review of iphone late 2017I found that the performance is pretty similar to 6sOnly difference is in camera sectionAnd the best change from 6s is stereo speakers you can really note it.Other thing like battery backupDisplay quality all are 90% similar to 6s not noticeableREAD MORE,5,"Oct, 2017"
171,Surinder Kumar,Apple and Flipkart always excellent .,Apple and Flipkart both have quality in their services. Delivered within 3 days in remote area of india and very much happy with my new purchase. Working smoothly and special thanks to team Flipkart for excellent services. For quality services of Flipkart a special thanks from my side. All the best for your great future.READ MORE,5,"Oct, 2017"
172,mklr,Worth the money,"Bought this for my wife. Received original product. Everything is fine in a typical iPhone fashion. Heats up like a normal Android phone upon moderate usage. Battery backup is ok. Gets you through the day. And you also you get that free frustration in the package like adding songs only through itunes, can't transfer files via BT to Android phones etc etc. Headphone jack removal is a glaring ommision. Should have let it live. Bought a bumper case and 3D tempered glass on the first day and slap...READ MORE",4,"Jul, 2017"
173,Gowthaman Sadasivam,Terrific,Just received the my first IPhone with great discount. Excited!!! The delivery was very fast and the delivery person from Flipkart was very kind and polite... Great experience. Have to explore the performance of phone... Will write a review after some time.READ MORE,5,"Jun, 2017"
174,Niranjan Bhosale,Excellent delivery super happy,It's was supposed to deliver on Wednesday but I guess these guys enjoys to be beeeeeefore time. Got the deliver a day prior to what they had committed. Thanks flipkart and team for the excellent service. P.s. Feels like India is progressing.READ MORE,5,"Jun, 2017"
175,Ravi Bahadur,Got it Cheapest price ever in india,Got it cheapest price ever in India . Genuine and original product happy to have dis phone .phone working awesomeREAD MORE,5,"May, 2017"
176,Sahil sachdeva,Flipkart rocks!,"Best product. Got it on the best price with best deal. I orderer this during the sale and got it for 40k. As it said it will be delivered on 19th of may but i got it 2 days early, on 17th. And as they say, an iPhone is an iPhone. I shifted from android to Apple and not regretting it for once. The performance is top notch. Camera-9/10Performance-10/10Flipkart service-10/10Keep it up.READ MORE",5,"May, 2017"
177,Sanchit Suneja,Good buy,the phone is as spectacular as the ads day and flipkart delivery was very prompt as well. Also availed the citibank cashback offer. Good buy overallREAD MORE,5,"Jan, 2017"
178,Aneel kumar Reddy,Great product,Its amazing phone .flipkart nice service original product .price tooo high but satisfaction is important .good phone good serviceREAD MORE,5,"Jan, 2017"
179,Mayank Chauhan,Great product,"Class apart! Exquisite phone. On setup gets hot but afterwards works cool n smooth. Camera is like crystal, either u see from ur eyes or from camera it's same. Priceless possession!!READ MORE",5,"Oct, 2016"
180,Rajeshkumar Subramanian,Worth upgrade from 6 to 7,I upgraded from 6 to 7Touch is better than 6Camera is goodBlack color looks greatHome button sensitivity is improvedOverall worth upgrade from 6 to 7READ MORE,5,"Oct, 2016"
181,anushka srivastava,Paying Regards to Flipkart.,"Although I preordered the product to get it before birthday but due to unavailability of particular colour the delivery got delayed. Thanks to Flipkart that finally I received my first iPhone on my birthday. I really appreciate Flipkart's idea of packaging the new iPhone in a black shining box containing classy statement.The phone looks great, speed is awesome and camera quality is too good.READ MORE",5,"Oct, 2016"
182,Pruthvi M,iPhone 7: Master piece,Stunning master piece .. Amazing service from Flipkart.. received my iPhone on time as promised.. hassle free xchange of old phone.. U guys ROCK !!READ MORE,5,"Oct, 2016"
183,Uday  Suvarna,iPhone 7,Purchased on exchange with  2.5 years old iPhone 5 s and pleasant upgrade to iPhone 7 with better memory 32 Gb and faster chip. Turned out much cheaper using Citibank card with Rs.10000 cashback. Effective price around Rs. 41000. Dust proof and Waterproof is nice a addition.READ MORE,5,"Oct, 2016"
